condition,condition_id,conversation_id,from,to,from_turn,to_turn,from_slot,to_slot,pair_type,adjacent_distance,x,y,xend,yend
AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,139,140,7.0,7.0,author_2,author_1,within_exchange,0.20483736521174722,0.2631395372838829,-0.017000994976049563,0.24694839624478473,-0.003105348446631095
AI-AI,ai-ai,conv_a5f55403da744ff0b966103e3911c44e,406,407,5.0,6.0,author_1,author_2,between_exchange,0.3858744401983314,0.2171576156458097,0.07139184321621744,0.16743533243245146,0.06460983868759333
AI-AI,ai-ai,conv_c4baf00847bb42a8ab80a1cb377e91b2,500,501,7.0,8.0,author_1,author_2,between_exchange,0.23704446963635406,0.15344052218741888,-0.016082668851738386,0.30511046137934555,-0.03356352848775497
AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,173,174,6.0,6.0,author_2,author_1,within_exchange,0.2670917830903876,0.26366293044168176,0.024536734945944737,0.13969681189926758,-0.07367097466225023
AI-AI,ai-ai,conv_6f7b4058431b47a49069aa04afdcc338,317,318,6.0,6.0,author_2,author_1,within_exchange,0.28330127174761377,0.010773252772213596,0.3395657608091378,0.06096370973931051,0.19174287663430667
AI-AI,ai-ai,conv_5f83922b1e334cfcb374e90c11c81c1e,276,277,3.0,4.0,author_2,author_1,between_exchange,0.34821470590921577,0.17390433792498555,0.00917883691030291,0.22608679967687142,0.0974026515984445
AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,111,112,2.0,2.0,author_1,author_2,within_exchange,0.3364500485797115,0.2467540179146515,-0.0023608772816884104,0.25937485400915733,0.10507207299005403
AI-AI,ai-ai,conv_462717bcc40d4415847da0610f472914,223,224,4.0,4.0,author_2,author_1,within_exchange,0.33246692544796264,0.2623544437583885,-0.06959308163849291,0.18298148820705995,0.0747775550850184
AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,82,83,5.0,6.0,author_1,author_2,between_exchange,0.35585826092229145,0.11654093222022038,0.22041000355110807,-0.16889616214963912,0.06377015803927939
AI-AI,ai-ai,conv_a5f55403da744ff0b966103e3911c44e,400,401,2.0,3.0,author_1,author_2,between_exchange,0.14748811611234114,0.2572744957536987,0.13097224995718745,0.2783880807164177,0.12568378308883535
AI-AI,ai-ai,conv_deb05265bec84343b09557454f80ce9a,577,578,1.0,1.0,author_1,author_2,within_exchange,0.346778957734187,0.005681836886702172,-0.023705390055493,-0.03617429899771525,0.1292453801266641
AI-AI,ai-ai,conv_adc796acd32f4433993539115159236a,449,450,9.0,9.0,author_2,author_1,within_exchange,0.31117707067390454,0.028591836260959916,0.18588235079323887,-0.016467958178382983,0.21320116041228
AI-AI,ai-ai,conv_ebe60862bf804722a847681940c8bbcd,628,629,8.0,9.0,author_1,author_2,between_exchange,0.3434843502264906,0.14781681318322573,-0.043676764171977286,0.16113248796909174,0.1455038210067508
AI-AI,ai-ai,conv_462717bcc40d4415847da0610f472914,217,218,1.0,1.0,author_2,author_1,within_exchange,0.2809571925505818,0.297730024611364,-0.11715575701634451,0.2259882424462933,-0.02307561408620356
AI-AI,ai-ai,conv_8947486e0260400c9e413aead1502092,383,384,3.0,3.0,author_1,author_2,within_exchange,0.33355408811188736,-0.001569015104208725,0.05415954095836477,0.13464904874814113,0.14524023632306488
AI-AI,ai-ai,conv_0388f204ccd644f39221d0d8afff6d09,32,33,7.0,8.0,author_1,author_2,between_exchange,0.25334835715654014,-0.07189322431097207,-0.07871080073743349,-0.017957223783238933,0.0439636936475529
AI-AI,ai-ai,conv_e9176cbc9fc84bf693d4722a41d4d02b,601,602,4.0,4.0,author_1,author_2,within_exchange,0.28142435795657716,0.10167356352114587,0.017252500637720474,0.1417136703677641,-0.11471168594527942
AI-AI,ai-ai,conv_bfdccaa2af5e42afa662d355a9f25723,477,478,5.0,5.0,author_1,author_2,within_exchange,0.23366678333314528,0.26013737553543603,-0.13474877190754886,0.25029514289016014,-0.13105076063508514
AI-AI,ai-ai,conv_a5f55403da744ff0b966103e3911c44e,403,404,4.0,4.0,author_2,author_1,within_exchange,0.3432697256595062,0.2721843157603793,0.1297950489629786,0.19811592743915438,0.17358406877283572
AI-AI,ai-ai,conv_84882a79161947c39f9842b344c773f2,376,377,8.0,9.0,author_1,author_2,between_exchange,0.3643067097775411,0.06822663506238692,0.1011346793192479,0.12736646571293161,-0.04736588069339151
AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,107,108,9.0,9.0,author_2,author_1,within_exchange,0.4197616201508433,0.04304392316752163,0.13407767285701078,0.21002307966656428,0.0448257333340699
AI-AI,ai-ai,conv_ec61d7cb57094812b5ed7b7b55c18b32,644,645,7.0,8.0,author_2,author_1,between_exchange,0.24081372994368122,0.06902852689775922,0.10489763110071629,0.18790304201503524,0.012097670790918388
AI-AI,ai-ai,conv_423a3b9f2e0640e789caf6a9f5e374b9,207,208,5.0,5.0,author_2,author_1,within_exchange,0.30127586396875083,0.22531461645489473,0.09818192145692028,0.18919114940838636,0.05073300199064542
AI-AI,ai-ai,conv_59e7ea5807ff4367bf49dd3541d68e49,259,260,4.0,4.0,author_1,author_2,within_exchange,0.366262313192639,0.07130078167760828,0.19765137672444066,0.0678611307872711,0.1048460822407034
AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,75,76,2.0,2.0,author_2,author_1,within_exchange,0.25504807724662704,0.03214540814977573,0.20794076549783594,0.19818205884979964,0.11508214386307136
