turn_node_id,condition,condition_id,conversation_id,sequence_index,turn_index,slot,x,y
123,AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,15,8.0,author_1,0.27366709605453676,-0.1459797515875139
124,AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,16,8.0,author_2,0.27862120140631613,-0.037081532146481515
125,AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,17,9.0,author_1,0.1705014217418902,0.04287442008482791
126,AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,18,9.0,author_2,0.13379199900225883,0.11348880289134927
127,AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,1,1.0,author_2,0.21913106955347128,0.01172518066729871
128,AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,2,1.0,author_1,0.10916251064107041,0.1379365199830122
129,AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,3,2.0,author_2,0.068285446225685,0.14501273212750765
130,AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,4,2.0,author_1,0.03130851368441164,0.15007569381777414
131,AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,5,3.0,author_2,0.07284502679202104,0.20544572065719474
132,AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,6,3.0,author_1,0.2777470677878824,0.1759284004535547
133,AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,7,4.0,author_2,0.24984127673252615,0.08390992574605476
134,AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,8,4.0,author_1,0.09941704268472062,0.0785739077901622
135,AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,9,5.0,author_2,0.2263014366600829,0.1784724607624741
136,AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,10,5.0,author_1,0.1260161461215153,-0.01682319333975912
137,AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,11,6.0,author_2,0.13587316556493478,0.11644679901544322
138,AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,12,6.0,author_1,0.252574087032229,0.13317257816377398
139,AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,13,7.0,author_2,0.2631395372838829,-0.017000994976049563
140,AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,14,7.0,author_1,0.24694839624478473,-0.003105348446631095
141,AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,15,8.0,author_2,0.2288458313620211,0.038345280575024114
142,AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,16,8.0,author_1,0.20091019455295922,0.05951954604390193
143,AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,17,9.0,author_2,0.3085651853747179,-0.025051860616209898
144,AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,18,9.0,author_1,0.20154367858570887,-0.030658681346384574
145,AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,1,1.0,author_1,0.27940737333080107,-0.11638730764446044
146,AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,2,1.0,author_2,0.2045906027726746,-0.06089764660336027
147,AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,3,2.0,author_1,0.33789253356891025,-0.17656642575313378
148,AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,4,2.0,author_2,0.16531465814693871,0.08120478946402492
149,AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,5,3.0,author_1,0.08171121251083402,0.21442220181639948
150,AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,6,3.0,author_2,0.12449100526285727,-0.07986202353496655
151,AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,7,4.0,author_1,0.190574722329236,0.25644413120207554
152,AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,8,4.0,author_2,0.1435617560322698,0.046272150963212216
153,AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,9,5.0,author_1,0.3150972647007616,0.1112534861713925
154,AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,10,5.0,author_2,0.26115736475688134,0.12364273233801504
155,AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,11,6.0,author_1,0.1907542779978902,0.07744995492059492
156,AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,12,6.0,author_2,0.32354702349332454,0.04598904943747549
157,AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,13,7.0,author_1,0.23454262900822517,0.017973488679112914
158,AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,14,7.0,author_2,0.22365683219409596,0.0965325107625935
159,AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,15,8.0,author_1,0.21644397309333108,0.10191610889542674
160,AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,16,8.0,author_2,0.2639077546805362,-0.016459826152170377
161,AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,17,9.0,author_1,0.2950074322567094,0.07338815250433936
162,AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,18,9.0,author_2,0.18795400514660457,-0.13173223879364665
163,AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,1,1.0,author_2,0.2355344890559957,-0.1544316816986554
164,AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,2,1.0,author_1,0.25799350769479906,-0.29742153750365263
165,AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,3,2.0,author_2,0.2731365178077272,-0.2735439635844509
166,AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,4,2.0,author_1,0.2808812416073585,-0.21268553612191965
167,AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,5,3.0,author_2,0.2268148444923071,-0.11942902390516033
